nohup: ignoring input
Train shape: torch.Size([14031, 5, 64, 32]), Valid shape: torch.Size([4677, 5, 64, 32]), Test shape: torch.Size([4678, 5, 64, 32])
Data shape: (C=5, H=144, W=72)
Fine Tuning Both Encoder and Decoder
Epoch: 0, Contrastive Train Loss: 7.84, Recon Train Loss: 0.49, Contrastive Valid Loss: 8.28, Recon Valid Loss: 0.37
Epoch: 1, Contrastive Train Loss: 6.93, Recon Train Loss: 0.39, Contrastive Valid Loss: 7.99, Recon Valid Loss: 0.34
Epoch: 2, Contrastive Train Loss: 6.70, Recon Train Loss: 0.36, Contrastive Valid Loss: 7.89, Recon Valid Loss: 0.31
Epoch: 3, Contrastive Train Loss: 6.55, Recon Train Loss: 0.32, Contrastive Valid Loss: 7.73, Recon Valid Loss: 0.27
Epoch: 4, Contrastive Train Loss: 6.48, Recon Train Loss: 0.30, Contrastive Valid Loss: 7.69, Recon Valid Loss: 0.25
Epoch: 5, Contrastive Train Loss: 6.36, Recon Train Loss: 0.28, Contrastive Valid Loss: 7.64, Recon Valid Loss: 0.23
Epoch: 6, Contrastive Train Loss: 6.27, Recon Train Loss: 0.26, Contrastive Valid Loss: 7.55, Recon Valid Loss: 0.21
Epoch: 7, Contrastive Train Loss: 6.21, Recon Train Loss: 0.25, Contrastive Valid Loss: 7.57, Recon Valid Loss: 0.20
Epoch: 8, Contrastive Train Loss: 6.15, Recon Train Loss: 0.23, Contrastive Valid Loss: 7.51, Recon Valid Loss: 0.19
Epoch: 9, Contrastive Train Loss: 6.10, Recon Train Loss: 0.23, Contrastive Valid Loss: 7.48, Recon Valid Loss: 0.18
Epoch: 10, Contrastive Train Loss: 6.06, Recon Train Loss: 0.22, Contrastive Valid Loss: 7.44, Recon Valid Loss: 0.18
Epoch: 11, Contrastive Train Loss: 6.02, Recon Train Loss: 0.21, Contrastive Valid Loss: 7.49, Recon Valid Loss: 0.17
Epoch: 12, Contrastive Train Loss: 5.99, Recon Train Loss: 0.21, Contrastive Valid Loss: 7.44, Recon Valid Loss: 0.16
Epoch: 13, Contrastive Train Loss: 5.96, Recon Train Loss: 0.20, Contrastive Valid Loss: 7.41, Recon Valid Loss: 0.16
Epoch: 14, Contrastive Train Loss: 5.93, Recon Train Loss: 0.20, Contrastive Valid Loss: 7.41, Recon Valid Loss: 0.15
Epoch: 15, Contrastive Train Loss: 5.91, Recon Train Loss: 0.20, Contrastive Valid Loss: 7.42, Recon Valid Loss: 0.15
Epoch: 16, Contrastive Train Loss: 5.88, Recon Train Loss: 0.19, Contrastive Valid Loss: 7.39, Recon Valid Loss: 0.15
Epoch: 17, Contrastive Train Loss: 5.85, Recon Train Loss: 0.19, Contrastive Valid Loss: 7.42, Recon Valid Loss: 0.15
Epoch: 18, Contrastive Train Loss: 5.83, Recon Train Loss: 0.19, Contrastive Valid Loss: 7.41, Recon Valid Loss: 0.14
Epoch: 19, Contrastive Train Loss: 5.80, Recon Train Loss: 0.19, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.14
Epoch: 20, Contrastive Train Loss: 5.78, Recon Train Loss: 0.18, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.14
Epoch: 21, Contrastive Train Loss: 5.76, Recon Train Loss: 0.18, Contrastive Valid Loss: 7.36, Recon Valid Loss: 0.14
Epoch: 22, Contrastive Train Loss: 5.75, Recon Train Loss: 0.18, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.14
Epoch: 23, Contrastive Train Loss: 5.73, Recon Train Loss: 0.18, Contrastive Valid Loss: 7.34, Recon Valid Loss: 0.13
Epoch: 24, Contrastive Train Loss: 5.71, Recon Train Loss: 0.18, Contrastive Valid Loss: 7.37, Recon Valid Loss: 0.13
Epoch: 25, Contrastive Train Loss: 5.70, Recon Train Loss: 0.18, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.13
Epoch: 26, Contrastive Train Loss: 5.68, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.13
Epoch: 27, Contrastive Train Loss: 5.67, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.13
Epoch: 28, Contrastive Train Loss: 5.65, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.13
Epoch: 29, Contrastive Train Loss: 5.64, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.13
Epoch: 30, Contrastive Train Loss: 5.63, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.36, Recon Valid Loss: 0.12
Epoch: 31, Contrastive Train Loss: 5.62, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.12
Epoch: 32, Contrastive Train Loss: 5.61, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.39, Recon Valid Loss: 0.12
Epoch: 33, Contrastive Train Loss: 5.59, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.39, Recon Valid Loss: 0.12
Epoch: 34, Contrastive Train Loss: 5.58, Recon Train Loss: 0.17, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.12
Epoch: 35, Contrastive Train Loss: 5.57, Recon Train Loss: 0.16, Contrastive Valid Loss: 7.41, Recon Valid Loss: 0.12
Epoch: 36, Contrastive Train Loss: 5.56, Recon Train Loss: 0.16, Contrastive Valid Loss: 7.42, Recon Valid Loss: 0.12
Epoch: 37, Contrastive Train Loss: 5.55, Recon Train Loss: 0.16, Contrastive Valid Loss: 7.42, Recon Valid Loss: 0.12
